"","metric","status_code","status","alteration_type","median_in_iqr","comid","gage_id"
"DS_Dur_WS","DS_Dur_WS",-1,"likely_altered","high",FALSE,2823750,11120510
"DS_Tim","DS_Tim",-1,"likely_altered","early",FALSE,2823750,11120510
"DS_Mag_50","DS_Mag_50",-1,"likely_altered","low",FALSE,2823750,11120510
"DS_Mag_90","DS_Mag_90",-1,"likely_altered","low",FALSE,2823750,11120510
"FA_Mag","FA_Mag",-1,"likely_altered","low",FALSE,2823750,11120510
"FA_Tim","FA_Tim",1,"likely_unaltered","none_found",TRUE,2823750,11120510
"SP_Dur","SP_Dur",1,"likely_unaltered","none_found",TRUE,2823750,11120510
"SP_Mag","SP_Mag",-1,"likely_altered","low",FALSE,2823750,11120510
"SP_Tim","SP_Tim",-1,"likely_altered","early",FALSE,2823750,11120510
"Wet_BFL_Dur","Wet_BFL_Dur",-1,"likely_altered","low",FALSE,2823750,11120510
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",-1,"likely_altered","low",FALSE,2823750,11120510
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",-1,"likely_altered","low",FALSE,2823750,11120510
"Wet_Tim","Wet_Tim",1,"likely_unaltered","none_found",TRUE,2823750,11120510
"Peak_Dur_2","Peak_Dur_2",1,"likely_unaltered","none_found",TRUE,2823750,11120510
"Peak_Dur_5","Peak_Dur_5",1,"likely_unaltered","none_found",FALSE,2823750,11120510
"Peak_10","Peak_10",-1,"likely_altered","low",FALSE,2823750,11120510
"Peak_2","Peak_2",-1,"likely_altered","low",FALSE,2823750,11120510
"Peak_5","Peak_5",-1,"likely_altered","low",FALSE,2823750,11120510
"Peak_Fre_2","Peak_Fre_2",1,"likely_unaltered","none_found",TRUE,2823750,11120510
"Peak_Fre_5","Peak_Fre_5",1,"likely_unaltered","none_found",TRUE,2823750,11120510
